date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:34	228077/228077	---M--	200	added ('OK')	application/javascript	etag:%2218a6454-37aed-566df09a37240%22	https://www.dasco.kr/xe/common/js/plugins/ui/jquery-ui.min.js?20180308132329	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/common/js/plugins/ui/jquery-ui.mina52b.js	(from https://www.dasco.kr/xe/donga_news)
14:54:35	5483/5483	---M--	200	added ('OK')	application/javascript	etag:%221940263-156b-566df1aa03380%22	https://www.dasco.kr/xe/modules/board/skins/sketchbook5/js/jquery.masonry.min.js?20180308132814	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/modules/board/skins/sketchbook5/js/jquery.masonry.minbb3b.js	(from https://www.dasco.kr/xe/donga_news)
14:54:35	19198/19198	---M--	200	added ('OK')	application/javascript	etag:%221940257-4afe-566df1aa03380%22	https://www.dasco.kr/xe/modules/board/skins/sketchbook5/js/board.js?20180308132814	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/modules/board/skins/sketchbook5/js/boardbb3b.js	(from https://www.dasco.kr/xe/donga_news)
14:54:36	73745/73745	---M--	200	added ('OK')	image/jpeg	etag:%221920c46-12011-566e376a9c480%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img01.jpg	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img01.jpg	(from https://www.dasco.kr/xe/talent)
14:54:36	3991/3991	---M--	200	added ('OK')	image/gif	etag:%221920c47-f97-566e376a9c480%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img02.gif	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img02.gif	(from https://www.dasco.kr/xe/talent)
14:54:36	15731/15731	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2011:54:33%20GMT	https://www.dasco.kr/xe/?mid=talent	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/index1c13.html	(from https://www.dasco.kr/xe/talent)
14:54:36	4557/4557	---M--	200	added ('OK')	image/gif	etag:%221920c48-11cd-566e376a9c480%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img03.gif	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img03.gif	(from https://www.dasco.kr/xe/talent)
14:54:36	4475/4475	---M--	200	added ('OK')	image/gif	etag:%221920c49-117b-566e376a9c480%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img04.gif	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/sub/talent_img04.gif	(from https://www.dasco.kr/xe/talent)
14:54:37	139/139	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2006%20Jul%202025%2011:54:36%20GMT	https://cdn.rawgit.com/openhiun/hangul/14c0f6faa2941116bb53001d6a7dcd5e82300c3f/nanumbarungothic.css	C:/My%20Web%20Sites/https___www.dasco.kr_/cdn.rawgit.com/openhiun/hangul/14c0f6faa2941116bb53001d6a7dcd5e82300c3f/nanumbarungothic.fd.delayed	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/reset.css)
14:54:37	1834/1834	---M-Z	200	added ('OK')	text/css	etag:W/%2272a-KM/aiWkch2Eakp5lq6buIoewqiM%22	https://cdn.jsdelivr.net/gh/openhiun/hangul@14c0f6faa2941116bb53001d6a7dcd5e82300c3f/nanumbarungothic.css	C:/My%20Web%20Sites/https___www.dasco.kr_/cdn.jsdelivr.net/gh/openhiun/hangul@14c0f6faa2941116bb53001d6a7dcd5e82300c3f/nanumbarungothic.css	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/reset.css)
